id,text,category
0,They could use a little polishing up and professional conversational skills.,1
1,"If you are going to Barcelona, this is the place to stay.",0
2,"The front desk staff could use a really good lesson on manners, professionalism, and genuine hospitality.",1
3,"if you want to stay here make sure you pay the extra supplements for the ""good"" rooms.",0
4,"I would stay here again on points of for business, but if it was my own money I might look around before booking it.",0
5,grab a couple bakery items at one of the corner bakeries and have a seat at the counter of the cafe bleu for a morning cafe au lait.,0
6,"the bathroom was large, with a shower and bathtub (and rubber duck!) you can buy tickets to the rembrandt museum and rijksmuseum through the hotel.",0
7,and the curtains could do with a touch of color.,1
8,Avoid these rooms - it is very clear why they do not have a photograph of them on their web site.,0
9,"if they could improve the service, it would be a top hotel even on a global standard.",1
10,"With the highest breakfast prices that we've seen, it would have been nice in the room drinks stations / coffee have as found generally in Westins.",1
11,though you need to check the sheets before crawling into bed.,0
12,go through the large gate and to the left is a lovely little outside bar area ___�_�___?,0
13,"It is in a great location for the Hollywood area, it is right next to a subway stop, but to get around in Los Angeles you will need a car.",0
14,"make sure you re-finance your home, sell your car and bring lots of cash for the many employees who are grateful for their $20 tips all day.",0
15,"Larger room, a bar on the ground floor, bigger reception, but then it would be the hotel that it is.",1
16,"and for that the hotel scores great marks, however when staying in a hotel i would expect to be pampered or at the very least not longing to return to my own bed.",0
17,for the price and the area should include breakfast at the least.,1
18,PARKING: is $43 plus tax per day; watch out,0
19,"Dont let the price fool you- its better to spend a few extra bucks for cleanliness, a walkable neighborhood without someone asking you for money or cigarettes or whatever they may be looking for.",0
20,"Rooms are clean and nice, but bear in mind you just pay for lodging, service does not seem to be included.",1
21,and el raco restaurant is also recommended (turn right at the front door).,0
22,one important item that is not mentioned on their website is that a trolly runs close by from the central train station.,0
23,"So they do not trust the staff, and be ready for them it's on and cause problems to try.",1
24,The hotel is very tired and in desperate need of a refurb.,1
25,don't make the same mistake i did.,0
26,One suggestion for the hotel - sounds like being turned away for not having a room available has often happened in the past.,1
27,"Quiet for the most part, the room was adequate but could use some minor remodeling.",1
28,Spa really need (avoid the hammam) are cleaned.,1
29,"If you do end up here, be sure to specify a room at the back of the hotel.",0
30,but unless your can swim in 2 inches of water dont expect to go too deep in the roof top pool,0
31,the great thing about this hotel is it is directly opposite central station which is a huge plus point if you are passing through with heavy bags or are coming from the airport.,0
32,whatever you do don't book the rooms with 2 single beds if you are an adult!,0
33,Go to Spa Aria at tehhOtel MOnteleone...wonderful services there Eat at Muriels and Tommys You wont be disappointed,0
34,"Dont expect a room with a view, and the hotel is on a fairly busy street, but they do have live jazz nightly.",0
35,SAVE YOUR MONEY AND GO ELSEWHERE.,0
36,Room needs better power plug,1
37,- there was some street noise in our room on the second floor - people during the night and traffic (seemed to be a lot of trucks loading and unloading) during the day so earplugs are recommended if you're a light sleeper; and - the lifts take an age to a,0
38,Like others have already done so I would recommend Johns Cafe for breakfast and there is also a great 24 hour deli/store on the corner of 44th and 2nd.,0
39,i would suggest another hotel if you want to sleep past 7:00.,0
40,"if you are still tempted to visit, stay in a hotel off the las ramblas as i think you will get a much better deal.",0
41,"Be aware of your surroundings at all times, and you wont be a victim.",0
42,"breakfast not overly exciting, but there is a great pancake shop below the hotel which i would recommend.",0
43,Note pedestrian area of the Rambla means in the evening taxis cannot approach and a walk may be required.,0
44,dont trust the staff here,1
45,"Ie, you can not expect your family of four to be comfortable in a room.",1
46,would recommend a stay at the nadia for anyone travelling to amsterdam.,0
